Manufaktur/Produksi,INDUSTRI MESIN DAN PERLENGKAPAN YTDL
Perbankan/Pelayanan Keuangan,KEUANGAN DAN ASURANSI
Komputer/Teknik Informatika (Perangkat Lunak),"INDUSTRI KOMPUTER, BARANG ELEKTRONIK DAN OPTIK"
Umum & Grosir,INDUSTRI MESIN DAN PERLENGKAPAN YTDL
Retail/Merchandise                                       684,INDUSTRI PENGOLAHAN
Produk Konsumen/Barang konsumen yang bergerak cepat      617,INDUSTRI PENGOLAHAN
Manajemen/Konsulting HR                                  613,KONSULTASI MANAJEMEN
tidak tersedia                                           545,NA
Transportasi/Logistik                                    532,POS DAN KURIR
Properti/Real Estate                                     513,REAL ESTAT
Konstruksi/Bangunan/Teknik                               482,KONSTRUKSI
Makanan & Minuman/Katering/Restoran                      482,INDUSTRI PENGOLAHAN
Kesehatan/Medis                                          475,JASA TENAGA MEDIS DAN KESEHATAN
Agrikultural/Perkebunan/Peternakan Unggas/Perikanan      397,"PERTANIAN,KEHUTANAN,PERIKANAN"
"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)     377","PEMROGRAMAN, KONSULTASI KOMPUTER DAN KEGIATAN YBDI "
Asuransi                                                 357,KEUANGAN DAN ASURANSI
Telekomunikasi                                           290,TELEKOMUNIKASI
Elektrikal & Elektronik                                  288,"INDUSTRI KOMPUTER, BARANG ELEKTRONIK DAN OPTIK"
Lainnya                                                  283,LAINNYA
Konsultasi (Bisnis & Manajemen)                          282,KONSULTASI MANAJEMEN
Pendidikan                                               281,PENDIDIKAN
Industri Berat/Mesin/Peralatan                           213,INDUSTRI MESIN DAN PERLENGKAPAN YTDL
Automobil/Mesin Tambahan Automotif/Kendaraan             211,INDUSTRI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH
BioTeknologi/Farmasi/Riset klinik                        204,INDUSTRI PENGOLAHAN
Tekstil/Garment                                          139,INDUSTRI TEKSTIL
Periklanan/Marketing/Promosi/Hubungan Masyarakat         129,INFORMASI DAN KOMUNIKASI
Minyak/Gas/Petroleum                                     128,PERTAMBANGAN DAN PENGGALIAN
Pertambangan                                             124,PERTAMBANGAN DAN PENGGALIAN
Perawatan/Kecantikan/Fitnes                              121,KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL
Bahan Kimia/Pupuk/Pestisida                              120,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA
Komputer/Teknik Informatika (Perangkat Keras)            119,"INDUSTRI KOMPUTER, BARANG ELEKTRONIK DAN OPTIK"
Hiburan/Media                                            117,"KESENIAN,HIBURAN,DAN REKREASI"
Pelayanan Arsitek/Desain Interior                        107,KONSTRUKSI KHUSUS
Akuntansi/Audit/Pelayanan Pajak                           98,HUKUM DAN AKUNTANSI
Percetakan/Penerbitan                                     95,INFORMASI DAN KOMUNIKASI
Hotel/Pariwisata                                          63,"KESENIAN,HIBURAN,DAN REKREASI"
Polymer/Plastik/Karet/Ban                                 51,INDUSTRI PENGOLAHAN
Call Center/IT-Enabled Services/BPO                       47,CALL CENTRE
Organisasi Nirlaba/Pelayanan Sosial/LSM                   46,JASA LAINNYA
Seni/Desain/Fashion                                       46,"KESENIAN,HIBURAN,DAN REKREASI"
Jurnalisme                                                40,INFORMASI DAN KOMUNIKASI
Layanan Umum/Tenaga Penggerak                             38,JASA LAINNYA
Kayu/Fiber/Kertas                                         36,PENGELOLAAN KEHUTANAN DAN PENEBANGAN
Pakaian                                                   33,INDUSTRI TEKSTIL
Jual Beli Saham/Sekuritas                                 27,KEUANGAN DAN ASURANSI
Travel/Pariwisata                                         27,"KESENIAN,HIBURAN,DAN REKREASI"
Pameran/Manajemen acara/PIKP                              23,"JASA PENYELENGGARA PERTEMUAN, PERJALANAN INSENTIF, KONFERENSI
DAN PAMERAN (MICE) "
Lingkungan/Kesehatan/Keamanan                             23,KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL
Permata/Perhiasan                                         22,INDUSTRI PERMATA
Pelayanan Perbaikan & Pemeliharaan                        21,"REPARASI,PEMASANGAN MESIN DAN PERALATAN"
Hukum/Legal                                               19,HUKUM DAN AKUNTANSI
Keamanan/Penegak hukum                                    18,KEAMANAN DAN PENYELIDIKAN
Kelautan/Aquakultur                                       17,"PERTANIAN,KEHUTANAN,PERIKANAN"
Ilmu Pengetahuan & Teknologi                              11,INFORMASI DAN KOMUNIKASI
Olahraga                                                   8,"KESENIAN,HIBURAN,DAN REKREASI"
Tembakau                                                   7,"PERTANIAN,KEHUTANAN,PERIKANAN"
Luar Angkasa/Aviasi/Pesawat Terbang                        6,INDUSTRI ALAT ANGKUTAN LAINNYA
Pemerintahan/Pertahanan                                    4,"ADMINISTRASI PEMERINTAHAN,PERTAHANAN,DAN JAMINAN SOSIAL WAJIB"
Semikonduktor/Fabrikasi                                    1,INDUSTRI MESIN DAN PERLENGKAPAN YTDL