key,value
bisnis (contoh: kemeja),bisnis
kasual (contoh: kaos),kasual
tidak tersedia,tidak tersedia
formil (contoh: kemeja + dasi),formal
uniform,seragam
smart casual,kasual cerdas
seragam,seragam
company uniform,seragam
formal,formal
business and uniform,"bisnis, seragam"
business casual,kasual bisnis
business (shirts) and uniform,"bisnis, seragam"
"business, uniform","bisnis, seragam"
seragam kerja,seragam
casual,kasual
bisnis (contoh : kemeja),bisnis
kemeja,bisnis
"formal, casual (friday)","formal, kasual"
"t-shirt, polo-shirt, jeans, sneakers",kasual
formals (e.g.: shirts),formal
bisnis (kemeja),bisnis
casual and business,"kasual, bisnis"
profesional look,kasual bisnis
semi formal,semi formal
monday - friday : casual smart,kasual cerdas
uniforms,seragam
formal casual,kasual formal
"head office (business-formal), site (field suit)","bisnis, formal, seragam lapangan"
casual formal,kasual formal
"smart casual (e.g : polo shirt, jeans, and sport shoes)",kasual cerdas
casual business (e.g. polos and shirts),kasual bisnis
formal (e.g. shirt),formal
muslim clothes,pakaian muslim
-,tidak tersedia
formal (head office) and bussiness (branchess),"formal, bisnis"
"smart casual (e.g. polo shirt, jeans, sport shoes)",kasual cerdas
"formal, uniform","formal, seragam"
"casual, uniform","kasual, seragam"
business & casual on monday & friday,"bisnis, kasual"
formal rapih & kasual t shirt,"formal, kasual"
formal and fashionable,"formal, modis"
casual/uniform,"kasual, seragam"
we will provide uniform,seragam
uniform (kemeja),seragam
office look,formal
"formal (mon-thu), casual (everyday for it division and friday only for others )","formal, kasual"
company polo-tee or smart casual,"seragam, kasual cerdas"
sesuai standar kebun / pabrik,seragam lapangan
seragam kantor,seragam
shirts and t-shirts,kasual
formal outfits,formal
bebas,kasual
uniform provided,seragam
business & uniform,"bisnis, seragam"
bebas rapi,kasual
casual rapi,kasual
"operation, uniform",seragam lapangan
"kemeja, batik",bisnis
formal (rapih dan sopan),formal
casual tapi sopan,kasual cerdas
business (e.g. kemeja),bisnis
"uniform provided , smart casual","seragam, kasual cerdas"
business,bisnis
casual respective to business requirement,kasual
ho : formal / site : formal & casual,"formal, kasual"
sopan dan formal,formal
office uniforms,seragam
casual e.g (kemeja),kasual
formal (kemeja),formal
semi casual,kasual cerdas
"kaos berkerah/kemeja, celana bahan/jeans",kasual
menggunakan seragan dan celana bahan,formal
"kemeja, formal",formal
"casual, seragam","kasual, seragam"
formil / kaos seragam,"formal, seragam"
"business, casual, chic","bisnis, kasual"
casual & business,"kasual, bisnis"
apapun selama anda merasa nyaman,kasual
semi-formal,semi formal
"apd (helm, sepatu, rompi)",seragam lapangan
pria: menutup aurat. wanita: memakai jilbab (gamis) dan kerudung menutup dada,pakaian muslim
hokben uniform,seragam
bumi uniform,seragam
smart casual style,kasual cerdas
business (e.g. shirts) & casual friday,"bisnis, kasual"
"casual (senin jumat), batik (kamis)","kasual, formal"
kemeja/kaos + celana panjang + sepatu,kasual bisnis
berpakaian rapih dan sopan,kasual
seragam (uniform),seragam
"bebas, sopan, rapi",kasual
"casual, business casual","kasual, kasual bisnis"
company casual,kasual
bussiness and uniform,"bisnis, seragam"
rapih & sopan,kasual
formal & uniform,"formal, seragam"
office bussines and uniform,"formal, seragam"
company / project uniform,seragam
kemeja untuk pegawai kantor dan seragam untuk pegawai kafe,"bisnis, seragam"
dynamic professional,bisnis
polo shirt,kasual
formil,formal
blazer / rok / kemeja,kasual bisnis
kasual(contoh: kaos berkerah),kasual
formal uniform and casual,"seragam, kasual"
long-sleeves with reflector,seragam
depend on the project regulation,kasual
combine-business & casual for friday,"bisnis, kasual"
tidy casual,kasual
kasual formal,"kasual, formal"
formil (seragam),seragam
"seragam kerja, kemeja",seragam
"kasual (rapih, sopan)",kasual
rapih dan sopan,kasual
business and casual,"bisnis, kasual"
shirts uniform,seragam
uniform in plant and formal in jakarta head office,"seragam, formal"
casual business,kasual bisnis
seragam ciputra hospital,seragam
bisnis (contoh: kemeja) for office and uniforms for operation,"bisnis, seragam lapangan"
kasual rapi,kasual
shirts & semi casual,kasual
business & formal,"bisnis, formal"
"bebas di kantor, rapi bila bertemu klien",kasual bisnis
kemeja dan kaos kerah,kasual bisnis
uniform & batik,seragam
uniform form company,seragam
memakai seragam,seragam
seragam kerja (kemeja),seragam
formal and casual,"formal, kasual"
kemeja kasual & seragam,"kasual, seragam"
berseragam,seragam
non formal,kasual
"shirt, t-shirt, polo, batik, smart casual and jeans our dress for success",kasual cerdas
casual to formal,"kasual, formal"
"esthetically nice, elegant",kasual bisnis
uniform (monday & thursday),seragam
depend on division,tidak spesifik
formal dan rapi,formal
lainnya (bebas rapi),bisnis
formal office wear,formal
bisnis ( contoh : kemeja ),bisnis
formal (e.g. shirts),formal
uniform and casual,"seragam, kasual"
business casual & formal,"kasual, formal"
depend on the work location,tidak spesifik
rapi dan sopan,kasual
uniform from hotel,seragam
kasual,kasual
kemeja bebas rapi,bisnis
mixed,tidak spesifik
kasual (sopan + rapi),kasual
kemeja formal,bisnis
seragam kemeja & wearpack,seragam
uniform & casual,"seragam, kasual"
shirt,kasual
plant uniform,seragam lapangan
corporate unifrom,seragam
"shirt, uniform","kasual, seragam"
business-casual,kasual bisnis
shirts,kasual
rapi sopan,kasual
business / uniform,"bisnis, seragam"
"bebas, rapi, sopan, bersih",kasual
berpakaian rapi,kasual
casual (contoh kemeja),kasual
rapih dan pantas,bisnis
unifom,seragam
seragam perusahaan,seragam
wearpack,seragam
business (formal),bisnis
formal dan casual,"formal, kasual"
"rapi, sopan",kasual
bebas sopan,kasual
flexible according to situation,kasual bisnis
bisnis ( contoh :kemeja),bisnis
smart casual (e.g. t-shirts),kasual cerdas
baju satpam,seragam
"smart, casual, cool and looks good!",kasual cerdas
sopan dan rapih,kasual
bebas dan rapi,kasual
seragam & bebas rapih sopan,seragam
uniform / seragam,seragam
business and casual fridays,"bisnis, kasual"
berpakaian rapih,kasual
formal & casual,"formal, kasual"
sesuai dengan posisi pekerjaan,tidak spesifik
"neat casual, formal occasionally","kasual, formal"
seragam dari perusahaan,seragam
"bebas, sopan (kemeja)",bisnis
casual and formal,"kasual, formal"
formal (office) and uniform (site),"formal, seragam lapangan"
corporative uniform,seragam
"formal, rapi dan fashionable","bisnis, modis"
casual & formal,"kasual, formal"
rapi,bisnis
"wear pack, helmet and safety gogles",seragam lapangan
"casual, neat, stylish","kasual, modis"
chef,seragam
"casual (t-shirts) in office, business (shirts) attire when meeting clients","kasual, bisnis"
nbc's uniform,seragam
uniform - casual,"seragam, kasual"
formil (kemeja),formal
smart causal,kasual cerdas
business casual (boleh kaos tapi rapi),kasual bisnis
smart casual (polo shirt),kasual cerdas
kemeja bagi pria dan gamis bagi muslimah,bisnis
"business, casual","bisnis, kasual"
sports,olahraga
formal or casual,"formal, kasual"
gaya pakaian yang biasa,kasual
seragam dan celana panjang,seragam
seragam perusahaan atau smart casual,"seragam, kasual cerdas"
menyesuaikan,tidak spesifik
smart casual bussiness,"kasual cerdas, bisnis"
casual or formal (when needed),"kasual, formal"
non formal rapih,kasual
formal office look,formal
"casual, semi formal","kasual, semi formal"
"casual (e.g: shirts, jeans, etc)",kasual
business casual attire,kasual bisnis
seragam kemeja dan polo shirt,seragam
uniform + safety shoes,seragam lapangan
bebas - formal - rapi,kasual
"casual chic (i.e : denim, sneakers, tshirt)",kasual
casual & rapi,kasual
"semi formal, sopan",semi formal
depending on job role,tidak spesifik
bebas tapi sopan,kasual
"uniform, business, casual","seragam, bisnis, kasual"
busana muslim,pakaian muslim
dresscode,seragam
performance incentive scheme,tidak spesifik
formal and casual for friday,"formal, kasual"
company uniforms,seragam
companyâ€™s dress code,seragam
frc,tidak spesifik
official (formal),formal
"senin: batik dan celana bahan, selasa - jumat: kaos berkerah dan jeans",kasual
"mon - thu: uniform, friday: batik","seragam, formal"
formil (kemeja) dan batik (hari jumat),formal
rapi & sopan,kasual
fashionable,modis
executive casual,kasual cerdas
xlc uniform,seragam
medical scrub,seragam
casual ( no sandals ),kasual
combination of casual & business,"kasual, bisnis"
office casual,kasual bisnis
kemeja rapi sopan,bisnis
"casual (e.g. t-shirts, jeans, sport shoes)",kasual
rapih,kasual
office looks,bisnis
"bebas rapih, casual smart",kasual cerdas
seragam difasilitasi perusahaan,seragam
uniform bsp,seragam
casual or smart casual,kasual cerdas
seragam standar perusahaan,seragam
mix of both casual and business,"kasual, bisnis"
"formal in terms of meeting with other parties, casual in day to day","kasual, bisnis"
"formal: men(shirt, cloth pants, work shoes), woman (dress,skirt/pants,shoes)",kasual bisnis
"bebas, rapih dan sopan",kasual
busana kerja kasual,kasual
casual uniform,kasual
business ( media promotion ),bisnis
formal + batik,formal
thematic setiap hari berbeda tema yang bertujuan fun,tidak spesifik
casual business attire,kasual bisnis
sopan,kasual
"casual (t-shirts, polo shirts, shirts)",kasual