Asli,Pulau,Provinsi,company_location
"Jakarta, Indonesia",Jawa,DKI Jakarta,1088
"Batam, Indonesia",Sumatera,Kepulauan Riau,131
"Bandung, Indonesia",Jawa,Jawa Barat,113
"Yogyakarta, Indonesia",Jawa,DI Yogyakarta,82
"Surabaya, Indonesia",Jawa,Jawa Timur,64
"Tangerang, Indonesia",Jawa,Banten,58
"South Tangerang, Indonesia",Jawa,Banten,41
"Malang, Indonesia",Jawa,Jawa Timur,24
"Medan, Indonesia",Sumatera,Sumatera Utara,23
"Bekasi, Indonesia",Jawa,Jawa Barat,22
"Depok, Indonesia",Jawa,Jawa Barat,18
"Bogor, Indonesia",Jawa,Jawa Barat,16
"Semarang, Indonesia",Jawa,Jawa Tengah,14
"Padang, Indonesia",Sumatera,Sumatera Barat,6
"Tulungagung, Indonesia",Jawa,Jawa Timur,6
"Denpasar, Indonesia",Bali,Bali,5
"Serpong, Indonesia",Jawa,Banten,4
"Pekanbaru, Indonesia",Sumatera,Riau,4
"Makassar, Indonesia",Sulawesi,Sulawesi Selatan,3
"Balikpapan, Indonesia",Kalimantan,Kalimantan Timur,2
"Palembang, Indonesia",Sumatera,Sumatera Selatan,2
"Pandeglang, Indonesia",Jawa,Banten,2
"Badung, Indonesia",Bali,Bali,2
"Mojokerto, Indonesia",Jawa,Jawa Timur,2
"Solo, Indonesia",Jawa,Jawa Tengah,2
"Cirebon, Indonesia",Jawa,Jawa Barat,2
"Baturaja, Indonesia",Sumatera,Sumatera Selatan,1
"Cimahi, Indonesia",Jawa,Jawa Barat,1
"Subang, Indonesia",Jawa,Jawa Barat,1
"Singaraja, Indonesia",Bali,Bali,1
"Prabumulih, Indonesia",Sumatera,Sumatera Selatan,1
"Cikupa, Indonesia",Jawa,Banten,1
"Abepura, Indonesia",Papua,Papua,1
"Duri, Indonesia",Sumatera,Riau,1
Indonesia,Dihapus,Dihapus,1
"Cibitung, Indonesia",Jawa,Jawa Barat,1
"Sidoarjo, Indonesia",Jawa,Jawa Timur,1
"Klaten, Indonesia",Jawa,Jawa Tengah,1
"Cilegon, Indonesia",Jawa,Jawa Barat,1