asli,Jenis Tunjangan2,target
bonus,138,bonus
umum,106,umum
bpjs-jamsostek,71,bpjs kesehatan
makan,49,makan
transportasi,46,transportasi
wellness,40,kesehatan
kesehatan,38,kesehatan
pendidikan,36,pendidikan
asuransi,32,asuransi
jht-pensiun,27,"jht, pensiun"
komunikasi,26,komunikasi
cuti,17,cuti
perumahan,17,perumahan
travelling,15,traveling
makan-transport,14,"makan, transport"
jabatan,13,jabatan
wellnes,11,kesehatan
tidak tersedia,9,tidak tersedia
kacamata,9,kacamata
thr,8,thr
overtime,7,lembur
bpjs,7,bpjs
negotiable,7,negotiable
daerah,5,daerah
flexible time,4,flexible benefits
jamsostek,3,bpjs kesehatan
bpjs-jamsostek-jht-transport,3,"bpjs kesehatan, bpjs ketenagakerjaan, jht, transportasi"
operasional,3,operasional
bpjs-transport,2,"bpjs, transportasi"
lainnya,2,lainnya
pajak,2,pajak
flexible working,2,flexible benefits
transportasi-bonus,2,"transportasi, bonus"
bpjs-asuransi-kesehatan,2,"bpjs kesehatan, asuransi"
saham,2,saham
koperasi member,2,member koperasi
flexible benefit,1,flexible benefits
komunikasi-transportasi,1,"komunikasi, transportasi"
bpjs-jamsostek-thr-transport,1,"bpjs kesehatan, thr, transportasi"
bumn collaboration,1,"asuransi, thr, traveling"
bpjs-jamsostek-bonus,1,"bpjs kesehatan, bonus"
thr-jamsostek,1,"thr, bpjs kesehatan"
bpjs-asuransi,1,"bpjs, asuransi"
pend,1,pendidikan
bpjs-thr-bonus,1,"bpjs, thr, bonus"
travelllig-bonus,1,"traveling, bonus"
thr-kesehatan,1,"thr, kesehatan"
makan-asuransi,1,"makan, asuransi"
thr-asuransi,1,"thr, asuransi"
beras,1,makan
thr-bonus,1,"thr, bonus"
makanan,1,makan
promosi,1,promosi
makan-bonus,1,"makan, bonus"
bpjs-jht,1,"bpjs, jht"
transportasi-makan,1,"transportasi, makan"
perumahan-transport,1,"perumahan, transportasi"
bpjs-makan,1,"bpjs, makan"
bpjs-bonus,1,"bpjs, bonus"
bpjs-thr,1,"bpjs, thr"
keluarga,1,keluarga
gigi dan kacamata,1,"gigi, kacamata"
pernikahan,1,pernikahan
perumahan-asuransi,1,"perumahan, asuransi"
makan-perumahan-bpjs-jamsostek-asuransi,1,"makan, perumahan, bpjs kesehatan, asuransi"
makan-pendidikan,1,"makan, pendidikan"
lahiran,1,lahiran
travelling-makan,1,"traveling, makan"
transportasi-komunikasi,1,"transportasi, komunikasi"
jabatan-pendidikan,1,"jabatan, pendidikan"
asuransi-kacamata,1,"asuransi, kacamata"
makan-asuransikesehatan,1,"makan, asuransi, kesehatan"
asuransi-jamsostek,1,"asuransi, bpjs kesehatan"
makan-perumahan,1,"makan, perumahan"
transportasi-pendidikan,1,"transportasi, pendidikan"
gigi,1,gigi
bpjs-jamsostek-kesehatan,1,bpjs kesehatan
asuransi-transportasi,1,"asuransi, transportasi"
flexible,1,flexible benefits